group,chain_size
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,7
monolingual,1
monolingual,1
monolingual,1
monolingual,6
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,4
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,7
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,5
monolingual,8
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,5
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,15
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,2
monolingual,1
